id, wins_sum, time_elapsed_avg, final_score_sum, final_score_diff_sum, final_score_diff_avg, condition
50241, 2, 400, 170.0, 110.0, 36, 1
54678, 0, 363, 70.0, -90.0, -30, 0
42055, 3, 400, 160.0, 120.0, 40, 1
44974, 3, 399, 190.0, 150.0, 50, 0
50268, 3, 400, 160.0, 120.0, 40, 1
58622, 1, 400, 50.0, -130.0, -44, 0
57925, 2, 400, 130.0, 70.0, 23, 1
45342, 1, 400, 100.0, -20.0, -7, 0
52665, 3, 400, 190.0, 170.0, 56, 1
53444, 0, 400, 70.0, -90.0, -30, 0
XXXXX, 0, 400, 70.0, -70.0, -24, 0
47956, 2, 400, 150.0, 100.0, 33, 1
45327, 0, 400, 80.0, -50.0, -17, 1
48286, 1, 400, 110.0, -10.0, -4, 0
48662, 3, 400, 180.0, 170.0, 56, 1
53286, 0, 400, 60.0, -110.0, -37, 0
51206, 3, 400, 200.0, 160.0, 53, 1
59023, 2, 400, 180.0, 130.0, 43, 1
53096, 2, 400, 150.0, 60.0, 20, 0
51427, 2, 400, 170.0, 100.0, 33, 1
51206, 3, 400, 200.0, 160.0, 53, 1
55625, 3, 400, 220.0, 200.0, 66, 1
51873, 2, 400, 140.0, 50.0, 16, 0
56868, 3, 397, 190.0, 140.0, 46, 0
51702, 3, 400, 190.0, 160.0, 53, 1
40260, 3, 398, 180.0, 120.0, 40, 0
56943, 2, 400, 140.0, 50.0, 16, 0
41275, 3, 400, 180.0, 130.0, 43, 1
57776, 3, 400, 190.0, 160.0, 53, 1
47478, 0, 400, 90.0, -60.0, -20, 0
51580, 2, 400, 120.0, 20.0, 6, 0
58249, 2, 388, 150.0, 60.0, 20, 0
42027, 3, 400, 240.0, 240.0, 80, 1
47641, 0, 400, 80.0, -70.0, -24, 0
47924, 3, 400, 200.0, 160.0, 53, 1
48564, 0, 400, 60.0, -40.0, -14, 1
51791, 0, 400, 20.0, -190.0, -64, 0
